Tag,Class,Description,Category,Keywords
Positive Airway Pressure (CPAP/BiPAP),Skill,Assess patient response to positive airway pressure (CPAP/BiPAP) initiation.,Positive Airway Pressure (CPAP/BiPAP),"Bipap, CPAP, Positive Airway Pressure (CPAP/BiPAP)"
Positive School Culture,Skill,Create a positive learning and work school environment for learners and staff.,Positive School Culture,"Positive School Culture, learning environment, work environment"
Positivity,Skill,Use positive language to address customer concerns.,Positivity,"Retail Sales Associate, Positivity"
Practice Management,Skill,Optimize gross revenue for a medical practice through inventory metric analytics.,Practice Management,"Practice Management, revenue"
Practicum,Skill,Integrate theories into practice.,Practicum,Practicum
Predetermined Motion Time Systems,Skill,Identify the basic motions in a work process.,Predetermined Motion Time Systems,"MTM, Predetermined Motion Time Systems, MOST, MODAPTS"
Prediction,Skill,"Assess potential success of instructional strategies, processes, and other interventions used with students with exceptionalities based on research, historical data, and anecdotal records.",Prediction,Prediction
Predictive Modelling,Skill,Recommend actions for an organization based on results from a predictive modeling activity.,Predictive Modelling,"Microsoft Excel, Google Sheets, MATLAB, Predictive Modelling, Azure ML, Predictive Modeling"
Prescription,Skill,Prepare prescriptions with the correct quantity.,Prescription,prescription
Presentation Graphics,Skill,Use PowerPoint and other presentation software to create interactive presentations.,Presentation Graphics,"Transferrable Skills Across Occupations, Presentation Graphics"
Presentation Skills,Skill,Utilize verbal and non-verbal communication techniques to engage and motivate the audience.,Presentation Skills,"Presentation Skills, Influencer, Change Manager"
Presentations,Skill,Prepare materials for web presentations.,Presentations,"Presentations, Prezi, Microsoft PowerPoint, Presentation Design, web presentation"
Preventative Care,Skill,Promote smoking cessation for the prevention of chronic obstructive pulmonary disease (COPD) exacerbations.,Preventative Care,"Preventative Care, COPD, Respiratory"
Preventive Maintenance,Skill,Document the routine maintenance of physical company assets.,Preventive Maintenance,"Microsoft Excel, Google Sheets, documentation, Preventive Maintenance"
Pricing Strategies,Skill,Determine cost of services based on market analysis.,Pricing Strategies,"Pricing Strategies, Pricing Strategy"
Primary Care,Skill,Provide primary and preventive care services.,Primary Care,"Medical Assistant, Primary Care"
Prioritization,Skill,Prioritize workload from most critical to least critical.,Prioritization,Prioritization
Proactivity,Skill,Document the trajectory the organization should take in the years to come.,Proactivity,"Proactivity, Proactive"
Problem Solving,Skill,Detect workflow interruptions in pharmacy.,Problem Solving,"Problem Solving, pharmacy"
Problem-Solving,Skill,Cultivate creative problem solving.,Problem-Solving,"InTASC, Problem-Solving"
Procedural Laws,Skill,Explain procedural laws during law enforcement situations.,Procedural Laws,Procedural Laws
Process Control,Skill,Implement statistical process control (SPC) methods to monitor process performance.,Process Control,"MS Office, Minitab, Process Control"
Process Design,Skill,Redesign projects to increase process efficiency and effectiveness.,Process Design,Process Design
Process Improvement,Skill,Develop standard work instructions by evaluating accounting processes and determining the most efficient method for each job.,Process Improvement,Process Improvements
Process Management,Skill,Promote clear ideas through interactive teaching approaches for adult learners.,Process Management,"Process Management, adult learners"
Procurement,Skill,Maintain vendor relationships and scorecards.,Procurement,"SAP, Microsoft Excel, Microsoft Word, NetSuite, Google Sheets, Oracle, Dynamics 365, Procurement"
Product Design,Skill,Coordinate the look and function of a prototype.,Product Design,"Coordinating, Product Design, Prototyping"
Product Information Management,Skill,Sell medical products through distribution channels using database information.,Product Information Management,Product Information Management
Product Knowledge,Skill,Update product knowledge with new releases and updates.,Product Knowledge,"Influencer, Product Knowledge"
Product Management,Skill,Create a set of user personas for a new product.,Product Management,"Microsoft PowerPoint, Microsoft Excel, Microsoft Word, Product Management"
Product Marketing,Skill,Translate technical details of a product to specific benefits tailored to target personas.,Product Marketing,"Marketing, Product Marketing, Personas"
Product Promotion,Skill,"Evaluate a product based on price, quality, and speed.",Product Promotion,"Marketing, Evaluation, Product Promotion"
Product Quality (QA/QC),Skill,Manage supplier quality audits.,Product Quality (QA/QC),"Product Quality (QA/QC), Product Quality"
Product Recall,Skill,Identify a recalled product.,Product Recall,Product Recall
Product Support,Skill,Document the most common usage scenarios of a product to evaluate potential support needs.,Product Support,Product Support
Production Planning,Skill,Determine resources required for the tasks of a production process.,Production Planning,"SAP, optimization software, Production Planning, forecasting software"
Production Support,Skill,Respond to data security incidents in production environments.,Production Support,Production Support
Productivity,Skill,Work well in a team in order to complete tasks efficiently.,Productivity,"productivity, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Workforce Productivity"
Productivity Software,Skill,Track the amount of time spent on tasks with time management software.,Productivity Software,Productivity Software
Professional Communication,Skill,Use technology to communicate in the workplace.,Professional Communication,"Professional Communication, Transferrable Skills Across Occupations, Professional Development and Career Management"
Professional Development Programs,Skill,Attend conferences and workshops to earn or maintain professional credentials.,Professional Development Programs,"Training and Development, Training, Professional Development, Education, Professional Development Programs"
Professional Liability,Skill,Reduce risk to self and patients through professional scope of practice.,Professional Liability,"Medical Assistant, Professional Liability"
Professional Practice Evaluation,Skill,Recommend changes to improve efficacy of practice.,Professional Practice Evaluation,"Professional Practice Evaluation, Practice Evaluation"
Professional Responsibility,Skill,Take action on goals.,Professional Responsibility,"Professional Responsibility, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Professional Development and Career Management"
Professional Services,Skill,Engage a third-party service to track productivity of an organization's employees.,Professional Services,"Microsoft Excel, Microsoft Word, Professional Services, Google Docs, Google Sheets, Microsoft Project, Monday.com, LucidCharts"
Professionalism,Skill,Work well with others.,Professionalism,"Professionalism, Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Entrepreneur, Professional Development and Career Management"
Profit And Loss (P&L) Management,Skill,Use financial data to formulate P&L statements.,Profit And Loss (P&L) Management,"Retail Sales Manager, Profit And Loss (P&L) Management"
Program Development,Skill,Select the appropriate project management strategy for instructional design.,Program Development,"Instructional Design, Program Development, Educational Program Development, project management strategy"
Program Evaluation,Skill,Plan programs relating to research across the appropriate units of the company.,Program Evaluation,"Program Evaluation, Educational Program Analysis, Program Planning, Educational Program Evaluation"
Program Management,Skill,Utilizes learning programs to support the organization's mission.,Program Management,"Organizational Programs, Learning Programs, Organization Mission Support"
Programmable Logic Controllers,Skill,Write logic programs that enable robotic tooling to perform a series of steps.,Programmable Logic Controllers,"MS Office, MS Project, Microsoft Visual Basic, SharePoint, AutoCAD, CATIA, ERP software, CNC Mastercam, Programmable Logic Controllers, Ladder Logic"
Programming Literacy,Skill,Write code.,Programming Literacy,"Computer Programming, Foundational Literacies, Programming Literacy"
